user_type,intent,domain_type,location_type,importance
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,looking for info,Apps Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Apps Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
