Content Load,Page Load,Blocked,DNS,Connect,Send,Wait,Receive,Body Size Request,Body Size Response,Header Size Request,Header Size Response,Total Size Request,Total Size Response,Total HTTP Timings
CL02_535_1268,PL02_648_1691,183,0,0,0,349,9,0,24633,360,423,TRTS01_below_426,TRES08_21342_27797,THTTP03_412_626
CL02_535_1268,PL02_648_1691,3,0,0,0,107,0,0,0,1113,1347,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL05_2430_3062,PL04_2484_3223,3,0,0,0,705,1,1301,0,1344,1337,TRTS09_2020_3101,TRES01_below_2559,THTTP04_626_859
CL02_535_1268,PL02_648_1691,3,0,0,0,213,4,0,6308,1618,753,TRTS07_1486_1724,TRES03_6035_9486,THTTP02_177_412
CL02_535_1268,PL08_7017_9947,5,0,0,0,231,8,0,6866,1643,865,TRTS07_1486_1724,TRES03_6035_9486,THTTP02_177_412
CL02_535_1268,PL03_1691_2484,11,0,0,0,507,22,0,11795,1840,1318,TRTS08_1724_2020,TRES05_12576_14735,THTTP03_412_626
CL04_1833_2430,PL03_1691_2484,1606,0,0,0,234,0,0,3886,1758,1318,TRTS08_1724_2020,TRES02_2559_6035,THTTP08_1740_2111
CL09_6084_7536,PL07_5255_7017,12,0,0,1,2090,1,383,0,1078,1295,TRTS06_1189_1486,TRES01_below_2559,THTTP08_1740_2111
CL02_535_1268,PL02_648_1691,17,0,0,0,152,550,0,16735,511,626,TRTS02_426_573,TRES07_17040_21342,THTTP04_626_859
CL01_below_535,PL01_below_648,55,0,0,0,82,0,0,283,717,409,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL06_3062_3812,PL06_4071_5255,113,0,0,0,82,40,0,2855,538,223,TRTS02_426_573,TRES02_2559_6035,THTTP02_177_412
CL03_1268_1833,PL03_1691_2484,4,0,0,0,83,0,0,831,1450,216,TRTS06_1189_1486,TRES01_below_2559,THTTP01_below_177
CL04_1833_2430,PL06_4071_5255,2,0,0,0,357,0,0,10762,1629,266,TRTS07_1486_1724,TRES04_9486_12576,THTTP02_177_412
CL06_3062_3812,PL06_4071_5255,3,0,0,0,381,87,0,13775,1695,266,TRTS07_1486_1724,TRES05_12576_14735,THTTP03_412_626
CL05_2430_3062,PL06_4071_5255,7,0,0,0,462,2,0,13797,1693,266,TRTS07_1486_1724,TRES05_12576_14735,THTTP03_412_626
CL07_3812_4813,PL07_5255_7017,8,0,0,0,363,15,0,14206,1699,266,TRTS07_1486_1724,TRES05_12576_14735,THTTP02_177_412
CL07_3812_4813,PL07_5255_7017,5,0,0,0,696,12,0,15200,1692,266,TRTS07_1486_1724,TRES06_14735_17040,THTTP04_626_859
CL05_2430_3062,PL06_4071_5255,13,0,0,0,389,2,0,13492,1694,266,TRTS07_1486_1724,TRES05_12576_14735,THTTP02_177_412
CL05_2430_3062,PL04_2484_3223,4,0,0,0,739,0,1305,0,1344,1350,TRTS09_2020_3101,TRES01_below_2559,THTTP04_626_859
CL04_1833_2430,PL06_4071_5255,5,0,0,0,238,117,0,31447,1156,498,TRTS05_925_1189,TRES09_27797_36658,THTTP02_177_412
CL04_1833_2430,PL06_4071_5255,4,0,0,0,263,120,0,31853,1156,373,TRTS05_925_1189,TRES09_27797_36658,THTTP02_177_412
CL04_1833_2430,PL04_2484_3223,148,0,0,0,587,1,244,0,536,1200,TRTS04_737_925,TRES01_below_2559,THTTP04_626_859
CL05_2430_3062,PL06_4071_5255,5,0,0,0,80,0,0,0,1040,500,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL04_1833_2430,PL04_2484_3223,7,0,0,0,76,1,0,0,1151,826,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL03_1268_1833,PL02_648_1691,3,0,0,0,608,0,244,0,938,1197,TRTS05_925_1189,TRES01_below_2559,THTTP03_412_626
CL06_3062_3812,PL05_3223_4071,5,0,0,0,94,0,393,0,1166,394,TRTS07_1486_1724,TRES01_below_2559,THTTP01_below_177
CL05_2430_3062,PL04_2484_3223,8,0,0,0,99,3,0,0,913,826,TRTS04_737_925,TRES01_below_2559,THTTP01_below_177
CL05_2430_3062,PL05_3223_4071,185,0,0,0,168,0,0,0,745,571,TRTS04_737_925,TRES01_below_2559,THTTP02_177_412
CL04_1833_2430,PL03_1691_2484,186,0,0,1,95,1,0,0,1001,447,TRTS05_925_1189,TRES01_below_2559,THTTP02_177_412
CL02_535_1268,PL02_648_1691,7,0,0,0,169,7,0,9559,742,524,TRTS04_737_925,TRES04_9486_12576,THTTP02_177_412
CL06_3062_3812,PL07_5255_7017,3,0,0,0,486,604,0,17382,773,524,TRTS04_737_925,TRES07_17040_21342,THTTP05_859_1130
CL02_535_1268,PL02_648_1691,0,0,0,0,24,0,0,0,669,463,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL02_535_1268,PL03_1691_2484,0,0,0,0,20,0,0,0,627,490,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
