CallCnt,ScreenCnt,AppCnt,BatteryValue
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT03_16_20
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
